datetime,month,day,hour,LocationID,pickups,year,week,dayofweek,isweekend,isholiday,Temperature
2017-01-02 01:00:00,1,2,1,13,11.0,2017,1,0,0,0,38
2017-01-02 01:00:00,1,2,1,24,11.0,2017,1,0,0,0,38
2017-01-02 01:00:00,1,2,1,41,26.0,2017,1,0,0,0,38
2017-01-02 01:00:00,1,2,1,42,13.0,2017,1,0,0,0,38
2017-01-02 01:00:00,1,2,1,43,14.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,4,8.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,12,1.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,13,4.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,24,10.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,41,17.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,42,13.0,2017,1,0,0,0,38
2017-01-02 02:00:00,1,2,2,43,7.0,2017,1,0,0,0,38
2017-01-02 03:00:00,1,2,3,4,9.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,12,0.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,13,4.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,24,6.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,41,7.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,42,2.0,2017,1,0,0,0,39
2017-01-02 03:00:00,1,2,3,43,15.0,2017,1,0,0,0,39
2017-01-02 04:00:00,1,2,4,4,7.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,12,0.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,13,7.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,24,7.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,41,4.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,42,10.0,2017,1,0,0,0,38
2017-01-02 04:00:00,1,2,4,43,10.0,2017,1,0,0,0,38
2017-01-02 05:00:00,1,2,5,4,8.0,2017,1,0,0,0,38
2017-01-02 05:00:00,1,2,5,12,0.0,2017,1,0,0,0,38
2017-01-02 05:00:00,1,2,5,13,11.0,2017,1,0,0,0,38
2017-01-02 05:00:00,1,2,5,24,11.0,2017,1,0,0,0,38
2017-01-02 05:00:00,1,2,5,41,16.0,2017,1,0,0,0,38
